Тип предприятия,Код предприятия,Количество хостов,Код реализованной угрозы,Успех,Регион размещения предприятия,Дата инцидента,Региональное время
фармацевтика,7937,311,112,0,Тамбовская область,20.07.2025,20.07.2025 08:24
системная интеграция,2235,1137,185,0,Камчатский край,04.01.2025,04.01.2025 20:12
телекоммуникации,2085,265,178,0,Кировская область,07.10.2023,07.10.2023 06:54
консалтинг,7514,1056,44,1,Воронежская область,27.08.2024,27.08.2024 22:10
НКО,2785,1383,142,0,Архангельская область,23.04.2025,23.04.2025 19:31
ресторанный бизнес,9693,1169,215,1,Кировская область,30.01.2023,31.01.2023 02:27
отели,4061,870,112,0,Еврейская автономная область,02.11.2023,03.11.2023 04:57
металлургия,6845,290,11,1,Новосибирская область,10.03.2023,10.03.2023 20:33
маркетинг,7853,1858,205,0,Тюменская область,11.10.2025,11.10.2025 12:05
медицина,0204,1619,188,1,Тамбовская область,29.09.2023,29.09.2023 14:18
отели,1487,232,123,1,Смоленская область,29.07.2025,29.07.2025 21:47
фармацевтика,0400,1131,119,0,Республика Ингушетия,14.01.2024,14.01.2024 14:40
консалтинг,0023,1962,161,0,Кабардино-Балкарская Республика,12.11.2024,12.11.2024 19:02
информационные технологии,6978,1741,70,0,Херсонская область,15.06.2023,15.06.2023 22:56
телекоммуникации,0899,1254,173,1,Республика Коми,16.08.2023,16.08.2023 15:23
консалтинг,0670,948,94,0,Республика Крым,18.05.2023,18.05.2023 20:45
ресторанный бизнес,2268,885,62,0,Севастополь,06.09.2025,07.09.2025 02:48
фармацевтика,3438,1742,191,0,Ульяновская область,23.12.2024,23.12.2024 11:32
реклама,4541,311,17,1,Волгоградская область,15.07.2025,15.07.2025 18:32
безопасность,2011,1162,182,1,Тюменская область,23.01.2025,24.01.2025 02:44
добыча,3086,1137,23,0,Республика Северная Осетия-Алания,02.01.2024,02.01.2024 12:04
химия,2700,765,29,0,Томская область,05.11.2023,05.11.2023 13:33
НКО,0372,800,107,0,Курганская область,11.12.2024,11.12.2024 18:28
НКО,0352,797,49,0,Москва,20.04.2024,20.04.2024 19:41
телекоммуникации,6746,1385,88,1,Омская область,21.12.2025,21.12.2025 23:28
консалтинг,4983,1361,34,1,Брянская область,16.06.2024,16.06.2024 10:30
системная интеграция,4721,1776,217,0,Владимирская область,24.12.2024,24.12.2024 12:29
розничная торговля,2635,1657,138,1,Орловская область,26.12.2023,27.12.2023 01:44
энергетика,2642,687,30,0,Пензенская область,17.09.2023,17.09.2023 17:16
системная интеграция,3023,620,144,0,Луганская Народная Республика,11.10.2024,11.10.2024 14:09
системная интеграция,7348,1305,42,1,Тверская область,21.02.2023,21.02.2023 15:59
логистика,2382,1138,82,0,Калининградская область,05.11.2025,05.11.2025 12:41
информационные технологии,7765,793,194,0,Забайкальский край,24.06.2025,24.06.2025 19:44
химия,7848,282,36,0,Республика Башкортостан,20.02.2023,20.02.2023 17:39
отели,7307,931,24,1,Краснодарский край,04.02.2024,04.02.2024 21:33
отели,4554,600,6,0,Республика Хакасия,01.07.2025,02.07.2025 04:42
добыча,8386,1007,50,1,Пензенская область,13.11.2025,13.11.2025 04:58
системная интеграция,6514,502,184,1,Ростовская область,01.03.2025,01.03.2025 14:00
информационные технологии,5652,919,79,1,Республика Бурятия,29.06.2023,29.06.2023 14:46
консалтинг,6810,1845,114,1,Смоленская область,18.05.2025,19.05.2025 02:57
реклама,2287,1911,151,0,Владимирская область,01.03.2024,01.03.2024 12:30
безопасность,5496,335,152,1,Архангельская область,14.01.2023,14.01.2023 16:40
автобизнес,6792,558,143,1,Забайкальский край,08.10.2023,08.10.2023 15:11
маркетинг,4743,1334,126,0,Пермский край,14.09.2024,14.09.2024 20:35
консалтинг,3679,254,203,0,Костромская область,21.06.2024,21.06.2024 12:40
НКО,7743,454,168,1,Республика Дагестан,03.01.2024,03.01.2024 18:58
НКО,4010,258,31,1,Томская область,17.05.2023,18.05.2023 02:47
системная интеграция,9521,1184,145,1,Республика Мордовия,01.09.2025,02.09.2025 01:52
химия,6115,1249,188,0,Республика Мордовия,30.11.2023,30.11.2023 21:03
энергетика,5238,1144,225,0,Астраханская область,01.12.2023,01.12.2023 04:17
системная интеграция,6874,1503,92,0,Удмуртская Республика,20.08.2024,20.08.2024 19:40
добыча,8420,596,197,0,Вологодская область,09.12.2023,09.12.2023 20:20
телекоммуникации,4933,755,176,1,Вологодская область,30.12.2025,30.12.2025 21:22
энергетика,0212,480,133,1,Ростовская область,20.09.2025,20.09.2025 16:21
розничная торговля,1679,646,40,0,Курская область,12.12.2025,12.12.2025 20:45
медицина,1868,1054,118,0,Новгородская область,26.09.2023,26.09.2023 03:30
системная интеграция,5105,1615,93,0,Ханты-Мансийский автономный округ - Югра,07.12.2025,07.12.2025 15:11
информационные технологии,0472,1724,209,0,Воронежская область,21.09.2023,22.09.2023 01:09
отели,5037,456,54,0,Ненецкий автономный округ,20.05.2025,21.05.2025 01:48
химия,1274,238,199,1,Ямало-Ненецкий автономный округ,29.03.2023,29.03.2023 11:06
машиностроение,8413,1414,16,1,Тверская область,02.06.2024,02.06.2024 04:04
информационные технологии,0169,1745,25,0,Приморский край,25.02.2024,26.02.2024 04:57
ресторанный бизнес,3028,1573,90,0,Архангельская область,26.10.2023,27.10.2023 02:17
фармацевтика,5699,921,42,0,Новосибирская область,20.05.2023,20.05.2023 10:52
фармацевтика,0230,1283,56,0,Республика Татарстан,18.12.2023,18.12.2023 20:00
химия,3507,1232,218,1,Республика Калмыкия,15.01.2024,15.01.2024 17:43
химия,2964,1909,91,1,Республика Карачаево-Черкесия,14.03.2024,14.03.2024 19:14
реклама,1849,1759,81,0,Челябинская область,14.08.2023,14.08.2023 21:08
логистика,5919,1643,74,0,Ненецкий автономный округ,02.11.2024,02.11.2024 18:07
маркетинг,4647,1135,154,1,Херсонская область,28.06.2025,28.06.2025 10:35
реклама,4762,1951,110,0,Ленинградская область,01.09.2025,02.09.2025 00:23
розничная торговля,0210,1580,126,0,Республика Северная Осетия-Алания,16.06.2025,16.06.2025 19:42
добыча,1954,493,102,1,Еврейская автономная область,28.07.2023,29.07.2023 09:59
розничная торговля,1061,944,51,1,Белгородская область,07.04.2025,07.04.2025 06:14
реклама,8178,770,196,1,Республика Крым,30.03.2025,30.03.2025 14:30
образование,6627,1192,131,1,Владимирская область,20.07.2025,20.07.2025 06:07
автобизнес,8018,1218,60,0,Московская область,23.07.2023,24.07.2023 02:03
добыча,8162,1588,7,0,Ставропольский край,31.10.2024,31.10.2024 07:19
образование,1579,1756,20,1,Челябинская область,18.02.2024,18.02.2024 14:42
логистика,8033,1233,67,1,Красноярский край,06.02.2023,06.02.2023 08:27
химия,6286,1121,81,1,Ханты-Мансийский автономный округ - Югра,30.07.2025,30.07.2025 06:02
розничная торговля,9121,1550,221,1,Брянская область,03.10.2025,03.10.2025 16:08
информационные технологии,6375,1198,196,0,Забайкальский край,01.10.2025,02.10.2025 06:35
медицина,9376,1162,122,0,Новосибирская область,25.04.2023,25.04.2023 19:16
логистика,9684,973,158,1,Республика Татарстан,18.10.2024,18.10.2024 04:01
фармацевтика,0740,462,215,1,Волгоградская область,25.02.2023,25.02.2023 23:21
маркетинг,1595,1076,89,1,Чеченская республика,20.12.2024,20.12.2024 04:42
